property_type,location_area,area,price_million,unit_price_million_m2,bedrooms,bathrooms,floors,distance_to_cbd_km,has_furniture,car_alley
Căn hộ chung cư,Quận Tân Phú,112.0,5330.0,47.6,3.0,2.0,,,0,0
Căn hộ chung cư,Quận 6,83.0,3000.0,36.1,2.0,,,,0,0
Căn hộ chung cư,Quận Tân Phú,62.0,2420.0,39.0,2.0,2.0,,,0,0
Căn hộ chung cư,Quận 7,70.0,27000.0,385.7,,,,,0,0
Căn hộ chung cư,Quận 6,88.0,41000.0,465.9,2.0,,,,0,0
Căn hộ chung cư,Huyện Bình Chánh,56.0,3190.0,57.0,2.0,1.0,,,0,0
Căn hộ chung cư,Quận Tân Phú,71.0,4500.0,63.4,2.0,2.0,,,0,0
Căn hộ chung cư,Quận Bình Thạnh,160.0,22500.0,140.6,4.0,,,,0,0
Căn hộ chung cư,Quận 8,79.0,3650.0,46.2,2.0,2.0,,,0,0
Căn hộ chung cư,Huyện Nhà Bè,73.0,3000.0,41.1,2.0,1.0,,,0,0
Nhà riêng,Unknown,60.0,4900.0,81.7,3.0,2.0,3.0,,0,0
Căn hộ chung cư,Quận Gò Vấp,73.0,2800.0,38.4,2.0,2.0,,,0,0
Nhà riêng,Unknown,52.0,2990.0,57.5,2.0,2.0,,13.61,0,0
Căn hộ chung cư,Quận Tân Phú,53.0,3400.0,64.2,2.0,1.0,,,0,0
Nhà riêng,Quận Gò Vấp,54.0,6600.0,122.2,5.0,4.0,5.0,,0,0
Căn hộ chung cư,TP. Thủ Đức,107.0,7280.0,68.0,,,,,0,0
Căn hộ chung cư,TP. Thủ Đức,79.0,3690.0,46.7,2.0,,,,0,0
Căn hộ chung cư,TP. Thủ Đức,34.0,1700.0,50.0,,,,,0,0
Căn hộ chung cư,Quận 1,157.0,32000.0,203.8,3.0,,,,0,0
Căn hộ chung cư,Huyện Bình Chánh,55.0,1300.0,23.6,2.0,2.0,,,0,0
Nhà riêng,TP. Thủ Đức,32.0,2950.0,92.2,2.0,2.0,2.0,7.5,0,0
Căn hộ chung cư,Quận Bình Thạnh,45.0,2400.0,53.3,2.0,1.0,,,0,0
Căn hộ chung cư,Quận Tân Phú,70.0,3800.0,54.3,2.0,2.0,,,0,0
Căn hộ chung cư,Quận 3,36.0,3350.0,93.1,,,1.0,,0,0
Căn hộ chung cư,Quận 3,113.0,16000.0,141.6,3.0,2.0,,,0,0
Căn hộ chung cư,Quận 4,95.0,8000.0,84.2,3.0,2.0,,,0,0
Căn hộ chung cư,TP. Thủ Đức,59.0,2940.0,49.8,2.0,2.0,,,0,0
Căn hộ chung cư,Quận 8,115.0,48000.0,417.4,2.0,2.0,,,0,0
Căn hộ chung cư,Quận 7,90.0,5500.0,61.1,2.0,2.0,,,0,0
Căn hộ chung cư,Quận 7,51.0,3370.0,66.1,2.0,1.0,,,0,0
Căn hộ chung cư,Quận Tân Phú,58.0,2400.0,41.4,2.0,1.0,,,0,0
